PositionsExploration:;NumX=;25;NumY=;7;MaxX=;15300;MaxY=;13300
POSX;POSY;POSZ;POSA;V10;V20;V13;V23
0;0;1750;125;514;401;409;511
637;0;1750;125;508;402;398;504
1274;0;1750;125;508;403;394;502
1911;0;1750;125;507;404;392;501
2548;0;1750;125;507;404;392;501
3185;0;1750;125;507;405;391;501
3822;0;1750;125;507;405;391;501
4459;0;1750;125;508;405;391;501
5096;0;1750;125;508;406;391;501
5733;0;1750;125;508;406;391;501
6370;0;1750;125;509;407;392;502
7007;0;1750;125;509;407;392;502
7644;0;1750;125;509;407;392;502
8281;0;1750;125;509;407;392;502
8918;0;1750;125;509;407;392;503
9555;0;1750;125;509;407;392;503
10192;0;1750;125;509;408;392;503
10829;0;1750;125;510;408;393;503
11466;0;1750;125;510;408;393;503
12103;0;1750;125;510;408;392;503
12740;0;1750;125;510;408;393;503
13377;0;1750;125;511;408;392;503
14014;0;1750;125;511;409;391;503
14651;0;1750;125;512;409;390;503
15288;0;1750;125;515;411;387;501
0;2216;1750;125;510;403;404;511
637;2216;1750;125;508;404;398;506
1274;2216;1750;125;508;406;396;504
1911;2216;1750;125;509;407;394;503
2548;2216;1750;125;510;407;394;503
3185;2216;1750;125;510;408;393;502
3822;2216;1750;125;511;408;392;502
4459;2216;1750;125;511;408;391;502
5096;2216;1750;125;511;408;391;503
5733;2216;1750;125;512;407;392;503
6370;2216;1750;125;511;407;392;504
7007;2216;1750;125;511;407;393;504
7644;2216;1750;125;511;407;393;504
8281;2216;1750;125;511;407;393;504
8918;2216;1750;125;511;407;392;504
9555;2216;1750;125;511;407;393;504
10192;2216;1750;125;510;407;393;505
10829;2216;1750;125;510;407;394;505
11466;2216;1750;125;509;407;395;505
12103;2216;1750;125;509;407;395;504
12740;2216;1750;125;509;407;394;504
13377;2216;1750;125;510;408;394;503
14014;2216;1750;125;511;409;393;503
14651;2216;1750;125;513;409;391;502
15288;2216;1750;125;515;411;389;501
